12.18,43.99,36.02,32.76,0
11.75,43.58,35.69,8.63,1
11.75,43.58,35.71,11.56,1
12.18,43.56,35.69,9.11,1
12.16,43.58,35.69,17.84,1
12.18,43.99,35.59,11.85,1
11.75,43.53,35.69,26.55,1
11.75,43.99,35.69,15.26,1
12.16,43.56,35.69,18.78,1
11.75,46.56,35.71,19.67,1
12.16,6.59,36.12,27.97,1
12.16,32.59,36.1,32.28,1
12.16,42.67,36.12,32.34,1
12.16,13.91,35.69,27.03,1
12.16,40.17,35.71,32.4,1
12.18,26.99,8.94,32.76,1
12.16,42.72,20.73,32.76,1
12.16,36.98,4.92,32.4,1
12.16,37.92,6.72,32.76,1
6.38,43.89,35.71,32.29,1
12.18,40.75,35.64,32.4,1
12.16,38.28,35.69,32.28,1
11.75,43.51,36.12,32.29,1
4.7,41.73,25.07,32.38,1
6.43,43.46,26.58,32.28,1
12.16,43.56,35.95,32.29,1
12.16,43.51,31.69,32.4,1
12.16,43.99,35.59,32.29,1
12.18,43.92,31.59,32.38,1
12.18,43.99,19.14,32.28,1
12.18,43.56,24.3,10.43,2
12.16,45.31,36.1,18.13,2
12.16,22.36,35.69,18.78,2
11.68,39.14,7.32,33.17,2
18.09,37.46,13.15,32.71,2
17.73,42.19,19.05,32.76,2
12.16,44.35,35.53,11.37,2
4.99,7.31,35.69,19.14,2
12.16,31.61,5.23,32.76,2
13.07,43.94,32.28,32.74,2
12.16,45.29,36.12,9.21,2
12.18,34.27,6.83,33.63,2
12.16,43.94,24.39,32.76,2
12.16,43.99,35.59,11.13,2
4.46,43.89,7.37,32.69,2
4.46,44.3,28.06,8.8,3
12.16,23.82,34.32,32.38,3
12.16,43.51,35.62,13.7,3
5.9,6.29,26.98,7.97,3
13,41.37,35.64,14.9,3
6.36,39.57,35.62,19.67,3
12.16,14.82,23.7,25.66,3
12.59,14.82,16.79,25.66,3
12.16,5.75,16.79,20.58,3
